grp,bp,Bd,chunk,tgt,note
A,1,8,1016,1024,chunk+Bd=采集档
A,1,8,2040,2048,chunk+Bd=采集档
A,1,8,4088,4096,chunk+Bd=采集档
A,1,8,2041,2049,悬崖右缘(跨regime)
B,1,8,6136,6144,档间中点(插值)
A,1,64,960,1024,chunk+Bd=采集档
A,1,64,1984,2048,chunk+Bd=采集档
A,1,64,4032,4096,chunk+Bd=采集档
A,1,64,1985,2049,悬崖右缘(跨regime)
B,1,64,6080,6144,档间中点(插值)
A,1,105,919,1024,chunk+Bd=采集档
A,1,105,1943,2048,chunk+Bd=采集档
A,1,105,3991,4096,chunk+Bd=采集档
A,1,105,1944,2049,悬崖右缘(跨regime)
B,1,105,6039,6144,档间中点(插值)
C锚,2,40,1024,1064,2条512t齐发+池
C锚,4,40,1024,1064,4条256t齐发+池
C,6,40,1014,1054,6条169t齐发+池
C,8,40,1024,1064,8条128t齐发+池
